JOIN_FID,TARGET_FID_1,ITEM58,ITEM59,ITEM60,NODE1,NODE2,FLOW,MIN_VAL
3078,195731,5,6,4,2548,6156,0.000000000000000,4
3078,195732,6,7,5,2548,6156,0.000000000000000,5
3078,195733,7,7,6,2548,6156,0.000000000000000,6
1267,195734,6,7,7,2256,2534,0.228971963000000,6
1423,195735,7,7,7,2534,2844,0.182242991000000,7
1423,195736,7,7,7,2534,2844,0.182242991000000,7
1425,195737,7,7,7,2538,2848,0.224299065000000,7
1423,195739,6,7,7,2534,2844,0.182242991000000,6
1425,195740,7,7,7,2538,2848,0.224299065000000,7
1425,195741,7,7,7,2538,2848,0.224299065000000,7
1423,195742,6,7,7,2534,2844,0.182242991000000,6
1425,195743,6,7,7,2538,2848,0.224299065000000,6
1425,195744,6,7,7,2538,2848,0.224299065000000,6
1425,195745,6,7,7,2538,2848,0.224299065000000,6
1423,195746,7,7,7,2534,2844,0.182242991000000,7
1425,195747,6,7,7,2538,2848,0.224299065000000,6
1423,195748,6,7,7,2534,2844,0.182242991000000,6
1423,195749,7,7,7,2534,2844,0.182242991000000,7
1423,195750,6,7,7,2534,2844,0.182242991000000,6
1423,195751,6,7,7,2534,2844,0.182242991000000,6
1423,195752,6,7,7,2534,2844,0.182242991000000,6
1423,195753,6,7,7,2534,2844,0.182242991000000,6
1425,195754,7,7,7,2538,2848,0.224299065000000,7
1423,195755,6,7,7,2534,2844,0.182242991000000,6
1425,195756,6,7,7,2538,2848,0.224299065000000,6
1425,195757,6,7,7,2538,2848,0.224299065000000,6
1423,195758,7,7,7,2534,2844,0.182242991000000,7
1425,195759,6,7,7,2538,2848,0.224299065000000,6
1425,195760,5,7,7,2538,2848,0.224299065000000,5
1423,195761,4,7,7,2534,2844,0.182242991000000,4
1479,195762,7,7,7,2848,2955,0.140186916000000,7
1479,195763,7,7,7,2848,2955,0.140186916000000,7
1479,195764,6,7,7,2848,2955,0.140186916000000,6
1479,195765,6,7,7,2848,2955,0.140186916000000,6
1424,195766,6,7,7,2844,2848,0.247663551000000,6
1422,195767,6,7,7,2839,2844,0.224299065000000,6
1425,195768,6,7,7,2538,2848,0.224299065000000,6
1423,195769,6,7,7,2534,2844,0.182242991000000,6
1271,195770,6,7,7,2534,2542,0.065420561000000,6
1271,195771,6,7,7,2534,2542,0.065420561000000,6
1271,195772,6,8,7,2534,2542,0.065420561000000,6
1274,195773,6,8,7,2538,2548,0.065420561000000,6
1271,195774,7,7,7,2534,2542,0.065420561000000,7
1274,195775,6,7,7,2538,2548,0.065420561000000,6
1271,195776,7,8,7,2534,2542,0.065420561000000,7
1274,195777,6,8,7,2538,2548,0.065420561000000,6
1274,195778,6,8,7,2538,2548,0.065420561000000,6
1271,195779,6,8,7,2534,2542,0.065420561000000,6
1275,195780,7,8,7,2542,2548,0.252336449000000,7
1272,195781,7,8,7,2542,2543,0.000000000000000,7
1423,195782,5,7,7,2534,2844,0.182242991000000,5
1425,195783,5,7,7,2538,2848,0.224299065000000,5
1447,195784,N,N,N,2844,2891,0.233644860000000,0
1447,195785,N,N,N,2844,2891,0.233644860000000,0
1447,195786,N,N,N,2844,2891,0.233644860000000,0
1447,195787,N,N,N,2844,2891,0.233644860000000,0
3057,195788,N,N,N,5678,6113,0.210280374000000,0
1479,195795,7,5,6,2848,2955,0.140186916000000,5
1479,195796,7,6,6,2848,2955,0.140186916000000,6
473,195814,7,7,6,918,945,0.294392523000000,6
190,195815,N,N,N,280,380,0.060747664000000,0
274,195816,5,7,7,384,545,0.210280374000000,5
274,195817,6,7,7,384,545,0.210280374000000,6
352,195820,N,N,N,455,704,0.000000000000000,0
352,195822,N,N,N,455,704,0.000000000000000,0
349,195823,N,N,N,456,614,0.000000000000000,0
352,195824,N,N,N,455,704,0.000000000000000,0
349,195825,N,N,N,456,614,0.000000000000000,0
349,195826,N,N,N,456,614,0.000000000000000,0
352,195827,N,N,N,455,704,0.000000000000000,0
349,195828,N,N,N,456,614,0.000000000000000,0
352,195829,N,N,N,455,704,0.000000000000000,0
352,195830,N,N,N,455,704,0.000000000000000,0
352,195831,N,N,N,455,704,0.000000000000000,0
349,195832,N,N,N,456,614,0.000000000000000,0
352,195833,N,N,N,455,704,0.000000000000000,0
694,195834,7,7,6,917,1388,0.266355140000000,6
717,195835,5,7,7,1395,1420,0.383177570000000,5
824,195836,5,7,7,1456,1648,0.214953271000000,5
151,195837,5,7,7,290,302,0.280373832000000,5
188,195838,5,7,7,296,368,0.186915888000000,5
230,195839,6,7,7,369,456,0.186915888000000,6
1123,195840,7,7,7,1790,2246,0.233644860000000,7
824,195841,7,7,7,1456,1648,0.214953271000000,7
1123,195842,7,7,6,1790,2246,0.233644860000000,6
151,195845,N,N,N,290,302,0.280373832000000,0
824,195846,6,8,7,1456,1648,0.214953271000000,6
1123,195847,7,7,7,1790,2246,0.233644860000000,7
349,195848,7,6,7,456,614,0.000000000000000,6
352,195849,6,7,7,455,704,0.000000000000000,6
352,195850,5,5,7,455,704,0.000000000000000,5
349,195851,5,4,7,456,614,0.000000000000000,4
188,195852,7,7,7,296,368,0.186915888000000,7
1123,195853,N,N,N,1790,2246,0.233644860000000,0
390,195855,6,6,6,764,774,0.163551402000000,6
390,195856,6,6,6,764,774,0.163551402000000,6
390,195857,5,6,7,764,774,0.163551402000000,5
390,195858,5,6,7,764,774,0.163551402000000,5
400,195859,5,7,6,768,796,0.196261682000000,5
400,195860,N,N,N,768,796,0.196261682000000,0
390,195861,6,7,7,764,774,0.163551402000000,6
400,195862,6,6,7,768,796,0.196261682000000,6
482,195863,6,8,6,768,957,0.210280374000000,6
386,195864,6,8,7,455,768,0.158878505000000,6
383,195865,7,8,7,456,764,0.196261682000000,7
393,195866,7,6,7,776,782,0.126168224000000,6
393,195867,7,6,7,776,782,0.126168224000000,6
393,195868,6,6,7,776,782,0.126168224000000,6
404,195869,7,6,7,794,804,0.238317757000000,6
230,195870,7,7,7,369,456,0.186915888000000,7
188,195871,N,N,N,296,368,0.186915888000000,0
390,195872,6,6,6,764,774,0.163551402000000,6
352,195873,7,7,7,455,704,0.000000000000000,7
694,195874,7,6,7,917,1388,0.266355140000000,6
1128,195875,6,7,5,1398,2256,0.228971963000000,5
1128,195876,5,7,7,1398,2256,0.228971963000000,5
352,195877,5,6,6,455,704,0.000000000000000,5
349,195878,6,6,7,456,614,0.000000000000000,6
229,195879,6,6,7,455,457,0.000000000000000,6
352,195880,6,6,6,455,704,0.000000000000000,6
349,195881,6,6,6,456,614,0.000000000000000,6
352,195882,6,6,7,455,704,0.000000000000000,6
352,195883,7,8,7,455,704,0.000000000000000,7
313,195884,7,8,7,614,626,0.000000000000000,7
313,195885,N,N,N,614,626,0.000000000000000,0
352,195886,7,7,6,455,704,0.000000000000000,6
352,195887,7,8,6,455,704,0.000000000000000,6
313,195888,7,6,7,614,626,0.000000000000000,6
352,195889,7,6,7,455,704,0.000000000000000,6
313,195890,4,6,7,614,626,0.000000000000000,4
313,195891,7,7,7,614,626,0.000000000000000,7
352,195892,4,8,7,455,704,0.000000000000000,4
400,195893,6,6,6,768,796,0.196261682000000,6
699,195894,7,7,7,1388,1398,0.228971963000000,7
307,195895,7,7,6,613,614,0.429906542000000,6
349,195896,6,6,6,456,614,0.000000000000000,6
187,195897,6,8,7,243,369,0.163551402000000,6
187,195898,6,7,6,243,369,0.163551402000000,6
364,195899,6,8,7,727,728,0.000000000000000,6
707,195900,6,7,7,794,1414,0.163551402000000,6
706,195901,6,7,7,1411,1412,0.345794393000000,6
230,195903,6,7,7,369,456,0.186915888000000,6
188,195904,N,N,N,296,368,0.186915888000000,0
188,195905,N,N,N,296,368,0.186915888000000,0
230,195906,N,N,N,369,456,0.186915888000000,0
192,195913,7,8,7,284,384,0.032710280000000,7
192,195914,7,8,7,284,384,0.032710280000000,7
387,195915,5,7,7,380,774,0.182242991000000,5
274,195916,6,7,4,384,545,0.210280374000000,4
4626,196004,5,6,6,9217,9251,0.210280374000000,5
4629,196005,6,7,6,9218,9254,0.471962617000000,6
4626,196006,N,N,N,9217,9251,0.210280374000000,0
4629,196007,N,N,N,9218,9254,0.471962617000000,0
4626,196008,N,N,N,9217,9251,0.210280374000000,0
4915,196009,6,5,6,9829,9830,0.000000000000000,5
4913,196010,7,5,6,9286,9826,0.397196262000000,5
4913,196011,7,5,6,9286,9826,0.397196262000000,5
4915,196012,7,5,6,9829,9830,0.000000000000000,5
4913,196013,7,5,6,9286,9826,0.397196262000000,5
4915,196014,7,5,6,9829,9830,0.000000000000000,5
4915,196015,7,5,6,9829,9830,0.000000000000000,5
4913,196016,7,5,6,9286,9826,0.397196262000000,5
4913,196017,7,6,6,9286,9826,0.397196262000000,6
4915,196018,5,5,6,9829,9830,0.000000000000000,5
4915,196019,N,N,N,9829,9830,0.000000000000000,0
4913,196020,7,7,6,9286,9826,0.397196262000000,6
4915,196021,7,7,6,9829,9830,0.000000000000000,6
4915,196022,7,7,6,9829,9830,0.000000000000000,6
4913,196023,7,7,6,9286,9826,0.397196262000000,6
4913,196024,7,7,6,9286,9826,0.397196262000000,6
4915,196025,7,7,6,9829,9830,0.000000000000000,6
4915,196026,6,7,6,9829,9830,0.000000000000000,6
4915,196027,6,7,6,9829,9830,0.000000000000000,6
4913,196028,7,7,7,9286,9826,0.397196262000000,7
4915,196029,7,7,6,9829,9830,0.000000000000000,6
4913,196030,6,7,6,9286,9826,0.397196262000000,6
4915,196031,6,7,6,9829,9830,0.000000000000000,6
5136,196032,7,7,6,9826,10272,0.271028037000000,6
5138,196033,6,7,6,9829,10275,0.261682243000000,6
5136,196034,6,7,6,9826,10272,0.271028037000000,6
5138,196035,7,7,6,9829,10275,0.261682243000000,6
5136,196036,7,6,6,9826,10272,0.271028037000000,6
5136,196037,3,7,6,9826,10272,0.271028037000000,3
5138,196038,4,7,6,9829,10275,0.261682243000000,4
5138,196039,6,7,6,9829,10275,0.261682243000000,6
5136,196040,7,6,5,9826,10272,0.271028037000000,5
5138,196041,7,6,4,9829,10275,0.261682243000000,4
5136,196042,5,6,6,9826,10272,0.271028037000000,5
5138,196043,7,6,6,9829,10275,0.261682243000000,6
5138,196044,6,6,6,9829,10275,0.261682243000000,6
5138,196045,6,7,7,9829,10275,0.261682243000000,6
5136,196046,6,7,7,9826,10272,0.271028037000000,6
5136,196047,6,7,7,9826,10272,0.271028037000000,6
5138,196048,6,7,6,9829,10275,0.261682243000000,6
5138,196049,4,6,6,9829,10275,0.261682243000000,4
5138,196050,6,6,6,9829,10275,0.261682243000000,6
5136,196051,6,5,6,9826,10272,0.271028037000000,5
4915,196052,6,6,6,9829,9830,0.000000000000000,6
4913,196053,6,6,6,9286,9826,0.397196262000000,6
4913,196054,6,6,6,9286,9826,0.397196262000000,6
4913,196055,6,6,6,9286,9826,0.397196262000000,6
3654,196056,6,7,7,6312,7308,0.350467290000000,6
3262,196057,6,7,7,5382,6524,0.261682243000000,6
4913,196058,6,6,6,9286,9826,0.397196262000000,6
4913,196059,5,6,6,9286,9826,0.397196262000000,5
5138,196060,5,5,6,9829,10275,0.261682243000000,5
3654,196061,N,N,N,6312,7308,0.350467290000000,0
5138,196062,5,7,7,9829,10275,0.261682243000000,5
5138,196063,3,5,7,9829,10275,0.261682243000000,3
4915,196064,7,6,5,9829,9830,0.000000000000000,5
4915,196065,6,6,5,9829,9830,0.000000000000000,5
4915,196066,7,6,6,9829,9830,0.000000000000000,6
4913,196067,7,6,6,9286,9826,0.397196262000000,6
4913,196068,7,6,6,9286,9826,0.397196262000000,6
4913,196069,7,5,5,9286,9826,0.397196262000000,5
4913,196070,5,7,6,9286,9826,0.397196262000000,5
4915,196071,5,7,6,9829,9830,0.000000000000000,5
4913,196072,5,7,6,9286,9826,0.397196262000000,5
4915,196073,5,7,6,9829,9830,0.000000000000000,5
4913,196074,6,7,6,9286,9826,0.397196262000000,6
4915,196075,6,7,6,9829,9830,0.000000000000000,6
4913,196076,5,6,6,9286,9826,0.397196262000000,5
4915,196077,6,6,6,9829,9830,0.000000000000000,6
4915,196078,7,6,6,9829,9830,0.000000000000000,6
4915,196079,6,6,6,9829,9830,0.000000000000000,6
4915,196080,6,6,6,9829,9830,0.000000000000000,6
4913,196081,6,7,6,9286,9826,0.397196262000000,6
4915,196082,6,7,6,9829,9830,0.000000000000000,6
4626,196083,6,7,7,9217,9251,0.210280374000000,6
4629,196084,6,7,7,9218,9254,0.471962617000000,6
4626,196085,7,7,7,9217,9251,0.210280374000000,7
4629,196086,6,7,7,9218,9254,0.471962617000000,6
4626,196087,6,7,7,9217,9251,0.210280374000000,6
4629,196088,6,7,6,9218,9254,0.471962617000000,6
4626,196089,7,6,6,9217,9251,0.210280374000000,6
4629,196090,6,6,6,9218,9254,0.471962617000000,6
4626,196091,7,7,6,9217,9251,0.210280374000000,6
4629,196092,7,6,6,9218,9254,0.471962617000000,6
4626,196093,6,7,7,9217,9251,0.210280374000000,6
4629,196094,7,7,7,9218,9254,0.471962617000000,7
4629,196095,6,7,6,9218,9254,0.471962617000000,6
4626,196096,6,7,7,9217,9251,0.210280374000000,6
4626,196097,6,7,7,9217,9251,0.210280374000000,6
4629,196098,7,6,6,9218,9254,0.471962617000000,6
4626,196099,7,6,6,9217,9251,0.210280374000000,6
4629,196100,6,7,7,9218,9254,0.471962617000000,6
4626,196101,6,7,7,9217,9251,0.210280374000000,6
4626,196102,6,7,7,9217,9251,0.210280374000000,6
4629,196103,6,7,7,9218,9254,0.471962617000000,6
4626,196104,6,7,7,9217,9251,0.210280374000000,6
4629,196105,6,7,7,9218,9254,0.471962617000000,6
4626,196106,6,7,6,9217,9251,0.210280374000000,6
4629,196107,6,7,6,9218,9254,0.471962617000000,6
4626,196108,7,7,7,9217,9251,0.210280374000000,7
4629,196109,6,7,6,9218,9254,0.471962617000000,6
4626,196110,6,6,6,9217,9251,0.210280374000000,6
4629,196111,6,6,6,9218,9254,0.471962617000000,6
5138,196112,N,N,N,9829,10275,0.261682243000000,0
4629,196113,7,6,7,9218,9254,0.471962617000000,6
4626,196114,7,7,6,9217,9251,0.210280374000000,6
4626,196115,7,6,7,9217,9251,0.210280374000000,6
4626,196116,6,7,6,9217,9251,0.210280374000000,6
4629,196117,6,6,7,9218,9254,0.471962617000000,6
4629,196118,6,7,7,9218,9254,0.471962617000000,6
4626,196119,6,7,7,9217,9251,0.210280374000000,6
4626,196120,6,7,7,9217,9251,0.210280374000000,6
4629,196121,6,7,7,9218,9254,0.471962617000000,6
4629,196122,7,6,6,9218,9254,0.471962617000000,6
4626,196123,7,6,6,9217,9251,0.210280374000000,6
4629,196124,5,7,6,9218,9254,0.471962617000000,5
4626,196125,7,7,6,9217,9251,0.210280374000000,6
4629,196126,6,6,6,9218,9254,0.471962617000000,6
4626,196127,7,5,6,9217,9251,0.210280374000000,5
4626,196128,7,6,6,9217,9251,0.210280374000000,6
4629,196129,7,6,5,9218,9254,0.471962617000000,5
4629,196130,4,7,6,9218,9254,0.471962617000000,4
4629,196131,4,5,6,9218,9254,0.471962617000000,4
4626,196132,5,4,6,9217,9251,0.210280374000000,4
4626,196133,5,6,6,9217,9251,0.210280374000000,5
4629,196134,5,6,6,9218,9254,0.471962617000000,5
4626,196135,6,6,5,9217,9251,0.210280374000000,5
4629,196136,6,6,6,9218,9254,0.471962617000000,6
4626,196137,3,6,6,9217,9251,0.210280374000000,3
4626,196138,4,5,6,9217,9251,0.210280374000000,4
4626,196139,4,5,6,9217,9251,0.210280374000000,4
4626,196140,4,6,6,9217,9251,0.210280374000000,4
4626,196142,N,N,N,9217,9251,0.210280374000000,0
4629,196143,N,N,N,9218,9254,0.471962617000000,0
4626,196144,N,N,N,9217,9251,0.210280374000000,0
4626,196145,N,N,N,9217,9251,0.210280374000000,0
4629,196146,5,7,6,9218,9254,0.471962617000000,5
4626,196147,7,7,6,9217,9251,0.210280374000000,6
4629,196148,7,5,6,9218,9254,0.471962617000000,5
4626,196149,7,5,6,9217,9251,0.210280374000000,5
4629,196150,N,N,N,9218,9254,0.471962617000000,0
4626,196151,N,N,N,9217,9251,0.210280374000000,0
4626,196152,N,N,N,9217,9251,0.210280374000000,0
4629,196153,N,N,N,9218,9254,0.471962617000000,0
4626,196154,N,N,N,9217,9251,0.210280374000000,0
3262,196155,N,N,N,5382,6524,0.261682243000000,0
3304,196156,N,N,N,6462,6588,0.247663551000000,0
3295,196157,N,N,N,6524,6588,0.285046729000000,0
3262,196159,N,N,N,5382,6524,0.261682243000000,0
5136,196163,6,7,6,9826,10272,0.271028037000000,6
5136,196164,6,7,6,9826,10272,0.271028037000000,6
5138,196165,6,7,6,9829,10275,0.261682243000000,6
5138,196166,6,7,6,9829,10275,0.261682243000000,6
5138,196169,6,7,7,9829,10275,0.261682243000000,6
5138,196170,6,7,7,9829,10275,0.261682243000000,6
5136,196171,5,7,6,9826,10272,0.271028037000000,5
4629,196173,6,8,7,9218,9254,0.471962617000000,6
4626,196174,5,8,7,9217,9251,0.210280374000000,5
4923,196176,7,4,5,9845,9846,0.000000000000000,4
4946,196237,N,N,N,9845,9891,0.000000000000000,0
2225,196238,6,6,7,4297,4312,0.205607477000000,6
2231,196239,6,4,6,4301,4318,0.219626168000000,4
2153,196240,6,7,7,2977,4293,0.116822430000000,6
2154,196241,6,8,7,2983,4295,0.191588785000000,6
1479,196242,5,8,7,2848,2955,0.140186916000000,5
1447,196243,7,7,7,2844,2891,0.233644860000000,7
