XCoord,YCoord,START_NODE,END_NODE,EDGE
-117.13646200,32.62094200,133,139,70
-117.13646200,32.62094200,133,139,71
-117.13646200,32.62094200,133,139,72
-117.13654900,32.62166700,138,115,69
-117.13897300,32.62857600,139,133,70
-117.13897300,32.62857600,139,133,71
-117.13897300,32.62857600,139,133,72
-117.13897300,32.62857600,139,393,197
-117.13897300,32.62857600,139,393,198
-117.04353700,32.62895900,146,88,73
-117.04353700,32.62895900,146,148,74
-117.04353700,32.62895900,146,174,88
-116.99045900,32.63882800,148,146,74
-116.99045900,32.63882800,148,162,81
-116.99045900,32.63882800,148,222,112
-117.10012100,32.63945900,149,115,75
-117.10012100,32.63945900,149,115,76
-117.10012100,32.63945900,149,153,77
-117.10012100,32.63945900,149,153,78
-117.10012100,32.63945900,149,340,172
-117.10012100,32.63945900,149,340,173
-117.09987900,32.63952800,153,149,77
-117.09987900,32.63952800,153,149,78
-117.09987900,32.63952800,153,110,79
-117.09987900,32.63952800,153,110,80
-117.09987900,32.63952800,153,177,90
-117.09987900,32.63952800,153,177,91
-117.09987900,32.63952800,153,354,179
-117.09987900,32.63952800,153,354,180
-116.97098100,32.64607000,162,148,81
-116.97098100,32.64607000,162,163,82
-116.97098100,32.64607000,162,166,83
-116.97098100,32.64607000,162,320,160
-116.94994600,32.56752900,163,162,82
-116.97051500,32.64625800,166,162,83
-116.97051500,32.64625800,166,167,84
-116.97051500,32.64625800,166,184,92
-116.97051500,32.64625800,166,318,159
-116.94775300,32.56764200,167,166,84
-116.88391100,32.63662300,169,170,85
-116.94657900,32.64514500,170,169,85
-117.06144000,32.64802000,171,121,86
-117.06144000,32.64802000,171,174,87
-117.06144000,32.64802000,171,177,89
-117.06144000,32.64802000,171,195,98
-117.06094900,32.64802900,174,171,87
-117.06094900,32.64802900,174,146,88
-117.06094900,32.64802900,174,198,101
-117.06094900,32.64802900,174,222,111
-117.06680000,32.64813000,177,171,89
-117.06680000,32.64813000,177,153,90
-117.06680000,32.64813000,177,153,91
