OBJECTID,FID_tl_2017_06_prisecroads_Disso,ORIG_FID
12099,1,6050
12100,1,6050
12103,1,6052
12104,1,6052
12107,1,6054
12112,1,6056
12116,1,6058
12120,1,6060
12126,2,6063
12140,1,6070
12145,2,6073
12149,2,6075
12156,2,6078
12158,1,6079
12164,1,6082
12169,2,6085
12173,2,6087
12182,1,6091
12188,1,6094
12193,2,6097
12197,2,6099
12211,2,6106
12212,2,6106
12289,2,6145
