JOIN_FID,TARGET_FID_1,ITEM58,ITEM59,ITEM60,NODE1,NODE2,FLOW,MIN_VAL,HEURISTIC
6341,215569,7,7,7,11648,12680,0.364485981,7.,0.6883815048170558
6341,215570,7,8,7,11648,12680,0.364485981,7.,0.6883815048170558
6506,215571,7,7,6,12676,13011,0.299065421,6.,0.6778639090626857
6504,215572,7,7,7,12680,13008,0.327102804,7.,0.6679760708287218
6504,215573,7,8,7,12680,13008,0.327102804,7.,0.6679760708287218
6506,215574,7,8,7,12676,13011,0.299065421,7.,0.6459782922616104
6500,215575,7,8,8,12998,13000,0,7.,0.3385796515509009
6499,215576,7,8,8,12996,12998,0.285046729,7.,0.6325098092475525
7201,215577,7,8,7,14353,14402,0.813084112,7.,0.7194916422120996
7201,215578,7,8,7,14353,14402,0.813084112,7.,0.7194916422120996
7202,215579,7,8,7,13874,14404,0.397196262,7.,0.6998670253797167
6538,215580,N,N,N,12996,13076,0.186915888,0,0
6512,215581,7,8,7,12680,13024,0.453271028,7.,0.7108080137415578
6512,215582,6,7,7,12680,13024,0.453271028,6.,0.742693630542633
6512,215583,7,7,7,12680,13024,0.453271028,7.,0.7108080137415578
6512,215584,6,6,7,12680,13024,0.453271028,6.,0.742693630542633
6826,215585,N,N,N,13114,13652,0.341121495,0,0
6826,215586,N,N,N,13114,13652,0.341121495,0,0
6826,215587,7,7,7,13114,13652,0.341121495,7.,0.6767065100613016
6826,215588,N,N,N,13114,13652,0.341121495,0,0
6826,215589,7,7,7,13114,13652,0.341121495,7.,0.6767065100613016
7173,215591,3,6,6,14345,14346,0.644859813,3.,0.951994669952763
7177,215592,7,8,7,14353,14354,0,7.,0.3385796515509009
7177,215593,6,8,7,14353,14354,0,6.,0.37046526835197613
7177,215594,7,8,7,14353,14354,0,7.,0.3385796515509009
7177,215595,7,8,7,14353,14354,0,7.,0.3385796515509009
7177,215596,6,8,7,14353,14354,0,6.,0.37046526835197613
7202,215597,6,8,7,13874,14404,0.397196262,6.,0.7317526421807918
7202,215601,7,8,7,13874,14404,0.397196262,7.,0.6998670253797167
6826,215602,7,8,7,13114,13652,0.341121495,7.,0.6767065100613016
7349,215603,6,7,7,14454,14698,0,6.,0.37046526835197613
7177,215610,6,7,7,14353,14354,0,6.,0.37046526835197613
6931,215613,5,7,6,13806,13862,0.294392523,5.,0.7225718935746909
6896,215614,7,7,7,13624,13792,0.397196262,7.,0.6998670253797167
6843,215615,7,7,7,13618,13686,0,7.,0.3385796515509009
6813,215620,6,6,7,13593,13624,0.210280374,6.,0.5672319004673385
6813,215621,5,5,7,13593,13624,0.210280374,5.,0.6162410231598319
6551,215788,6,7,7,13083,13092,0.453271028,6.,0.742693630542633
6222,215789,7,6,7,12443,12444,0,6.,0.37046526835197613
5468,215794,7,7,7,10844,10928,0.373831776,7.,0.6921774777135117
5468,215795,7,7,7,10844,10928,0.373831776,7.,0.6921774777135117
5468,215796,7,7,7,10844,10928,0.373831776,7.,0.6921774777135117
5468,215797,7,7,7,10844,10928,0.373831776,7.,0.6921774777135117
6348,215798,N,N,N,12214,12696,0.551401869,0,0
6348,215799,7,7,7,12214,12696,0.551401869,7.,0.7174958731021529
6348,215800,7,7,6,12214,12696,0.551401869,6.,0.7493814899032281
6348,215801,7,7,7,12214,12696,0.551401869,7.,0.7174958731021529
6348,215802,7,7,7,12214,12696,0.551401869,7.,0.7174958731021529
6348,215803,7,7,7,12214,12696,0.551401869,7.,0.7174958731021529
6348,215804,N,N,N,12214,12696,0.551401869,0,0
5468,215805,7,7,6,10844,10928,0.373831776,6.,0.724063094514587
6341,215806,6,7,7,11648,12680,0.364485981,6.,0.7202671216181311
6196,215807,6,7,7,11644,12391,0.434579439,6.,0.7399512568614923
6196,215808,6,7,7,11644,12391,0.434579439,6.,0.7399512568614923
6341,215809,6,7,7,11648,12680,0.364485981,6.,0.7202671216181311
6341,215810,5,8,5,11648,12680,0.364485981,5.,0.7692762443106245
6341,215811,7,7,6,11648,12680,0.364485981,6.,0.7202671216181311
6341,215812,6,5,5,11648,12680,0.364485981,5.,0.7692762443106245
6341,215813,7,7,7,11648,12680,0.364485981,7.,0.6883815048170558
6196,215814,7,6,4,11644,12391,0.434579439,4.,0.8605767689344131
6196,215815,5,7,7,11644,12391,0.434579439,5.,0.7889603795539857
6196,215816,6,7,7,11644,12391,0.434579439,6.,0.7399512568614923
6196,215817,7,6,7,11644,12391,0.434579439,6.,0.7399512568614923
6341,215818,6,6,7,11648,12680,0.364485981,6.,0.7202671216181311
6196,215819,6,7,7,11644,12391,0.434579439,6.,0.7399512568614923
6341,215820,5,7,6,11648,12680,0.364485981,5.,0.7692762443106245
6196,215821,5,6,6,11644,12391,0.434579439,5.,0.7889603795539857
6341,215822,7,6,7,11648,12680,0.364485981,6.,0.7202671216181311
6341,215823,7,7,6,11648,12680,0.364485981,6.,0.7202671216181311
6341,215824,7,7,7,11648,12680,0.364485981,7.,0.6883815048170558
6341,215825,6,7,7,11648,12680,0.364485981,6.,0.7202671216181311
6196,215826,6,7,7,11644,12391,0.434579439,6.,0.7399512568614923
6341,215827,N,N,N,11648,12680,0.364485981,0,0
6222,215842,4,8,7,12443,12444,0,4.,0.49109078042489707
5436,215890,5,5,7,10336,10872,0.747663551,5.,0.8003190310779523
5439,215891,6,5,7,10516,10875,0.280373832,5.,0.7085375190049548
5464,215892,6,7,7,10875,10928,0.144859813,6.,0.4734825225148366
5436,215893,5,5,7,10336,10872,0.747663551,5.,0.8003190310779523
5439,215894,6,7,7,10516,10875,0.280373832,6.,0.6595283963124614
5436,215895,6,7,7,10336,10872,0.747663551,6.,0.7513099083854589
5436,215897,6,5,7,10336,10872,0.747663551,5.,0.8003190310779523
5439,215898,6,5,7,10516,10875,0.280373832,5.,0.7085375190049548
5439,215899,6,7,7,10516,10875,0.280373832,6.,0.6595283963124614
5439,215900,6,7,7,10516,10875,0.280373832,6.,0.6595283963124614
5436,215901,6,8,7,10336,10872,0.747663551,6.,0.7513099083854589
5439,215902,6,8,7,10516,10875,0.280373832,6.,0.6595283963124614
5436,215903,7,7,7,10336,10872,0.747663551,7.,0.7194242915843837
5439,215904,N,N,N,10516,10875,0.280373832,0,0
5436,215915,N,N,N,10336,10872,0.747663551,0,0
5258,215934,3,5,6,10340,10516,0.186915888,3.,0.733357138555583
5436,215935,3,7,7,10336,10872,0.747663551,3.,0.9523900327549073
5202,215937,5,8,7,10332,10399,0.523364486,5.,0.7973343075483396
5204,215938,6,8,7,10340,10398,0.313084112,6.,0.6896591956216314
5204,215939,7,8,7,10340,10398,0.313084112,7.,0.6577735788205561
5436,215940,7,7,7,10336,10872,0.747663551,7.,0.7194242915843837
5258,215941,7,7,7,10340,10516,0.186915888,7.,0.5003913973850594
5204,215942,N,N,N,10340,10398,0.313084112,0,0
5166,215943,7,7,6,10224,10332,0.214953271,6.,0.5741753375380128
5166,215947,7,6,7,10224,10332,0.214953271,6.,0.5741753375380128
5436,215949,6,7,7,10336,10872,0.747663551,6.,0.7513099083854589
5258,215950,6,7,7,10340,10516,0.186915888,6.,0.5322770141861346
5436,215951,7,7,7,10336,10872,0.747663551,7.,0.7194242915843837
5258,215952,6,7,6,10340,10516,0.186915888,6.,0.5322770141861346
5436,215953,6,8,7,10336,10872,0.747663551,6.,0.7513099083854589
5170,215954,7,8,7,10336,10340,0.303738318,7.,0.6500930299024209
5166,215955,4,8,7,10224,10332,0.214953271,4.,0.6948008496109336
